DateTime,TimeOfDay,City,Temp,Humidity
2026-04-26 22:41,Night,Kochi,29.99,78
2026-04-26 22:41,Night,Bangalore,28.19,45
2026-04-26 22:41,Night,Mumbai,29.99,79
2026-04-27 23:21,Night,Kochi,29.99,79
2026-04-27 23:21,Night,Bangalore,29.07,50
2026-04-27 23:21,Night,Mumbai,28.99,79
2026-04-28 23:36,Night,Kochi,26.99,82
2026-04-28 23:36,Night,Bangalore,27.73,54
2026-04-28 23:36,Night,Mumbai,28.99,84
2026-04-29 15:57,Afternoon,Kochi,33.99,72
2026-04-29 15:57,Afternoon,Bangalore,34.53,40
2026-04-29 15:57,Afternoon,Mumbai,32.99,52
